epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.419027,0.472009,1.383884,0.52855,0.00093368
2,0.982577,0.648112,0.935735,0.669014,0.0007525
3,0.797195,0.715969,1.013249,0.660777,0.000505
4,0.664181,0.769592,0.687783,0.768842,0.0002575
5,0.563274,0.805028,0.799491,0.730101,7.632e-05
6,0.500757,0.828704,0.520809,0.823874,1e-05
